Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
Office of Contracting and Procurement,DCSS-2011-D-925-37S,Engineering & Logistics Services,900000,4/25/2012 -                    4/24/2013,No,Option 1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"BIG, INC."
OFFICE OF CONTRACTING AND PROCUREMENT,CW15797,DCP0-2010-T-0011-A01,150000,4/29/2012 -                    4/28/2013,No,Base Period,Open,No,,FEDERAL EXPRESS
OFFICE OF CONTRACTING AND PROCUREMENT,CW16234,DCPO-2010-T-0011-A02 - Courier Services,150000,4/29/2012 -                    4/28/2013,No,Base Period,Open,No,,UPS-UNITED PARCEL SERVICE
OFFICE OF CONTRACTING AND PROCUREMENT,CW15861,"DCSS-2009-D-918-132S-MOBIS-ASPEN OF DC, INC",10000000,5/4/2012 -                    5/2/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-485-17S,Industrial Supplies & Apparel,900000,5/4/2012 -                    5/3/2013,No,Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged,I.S. Enterprises
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-485-17STEST,TEST Mail Notification -- Industrial Supplies & Apparel,9,5/4/2012 -                    5/4/2013,No,Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged,TEST
OFFICE OF CONTRACTING AND PROCUREMENT,CW16218,DCSS-2010-D-966-27S - Printing and Document Management Services,750000,5/6/2012 -                    5/5/2013,No,Base Period,Set Aside,No,,The Hamilton Group
Office of Contracting and Procurement,DCSS-2010-D-966-027S,Printing and Document Management,750000,5/7/2012 -                    5/6/2013,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,The Hamilton Group
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-961-41S,Marketing & Media & Public Information Services,900000,5/14/2012 -                    5/13/2013,No,Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged,The Ad Store Inc
Office of Contracting and Procurement,DCSS-2009-D-961-50S,Marketing & Media & Public Information Services,900000,5/28/2012 -                    5/27/2013,No,3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"Reingold, Inc"
Office of Contracting and Procurement,DCSS-2009-D-966-18S,Printing and Document Management,750000,6/9/2012 -                    6/8/2013,No,Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged,"Brentworks, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,CW15854,"DCSS-2007-D-918-84S-MOBIS SERVICES-MVS, INC",10000000,6/10/2012 -                    6/8/2013,No,Base Period,Set Aside,No,,Mobis Transportation Alternati
Office of Contracting and Procurement,DCSS-2010-D-925-34S,Engineering & Logistics Services,900000,6/10/2012 -                    6/9/2013,No,2,DCSS,No,Local,Motir Services
Office of Contracting and Procurement,DCSS-2011-D-946-11S,Audit and Financial Management Services,500000,6/20/2012 -                    6/19/2013,No,Option Year 1,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"GKA, PC"
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2011-D-966-30S,Printing and Document Management,750000,6/21/2012 -                    6/20/2013,No,Option 1,DCSS,No,Local                                     Disadvantaged                                     Enterprise Zone,Dupont Computers
OFFICE OF CONTRACTING AND PROCUREMENT,CW16123,DCSS-2008-D-615-38S - Office Supplies,5000000,6/24/2012 -                    6/23/2013,No,Base Period,Set Aside,No,,MDM Office Systems DBA Standard Office Supply
Office of Contracting and Procurement,DCSS-2011-D-925-39S,Engineering & Logistics Services,900000,6/24/2012 -                    6/23/2013,No,Option 1,DCSS,No,Local,"Delon Hampton & Associates, Chtd"
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2011-D-961-71S,Marketing & Media & Public Information Services,900000,7/6/2012 -                    7/5/2013,No,Option 1,DCSS,No,Local                                     Small                                     Resident,"Sharp Level Consulting, LLC"
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2008-D-925-25S,Engineering and Logistics Services,900000,7/9/2012 -                    7/8/2013,No,Option 4,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"United General Contractors, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2010-D-475-23S,Medical Equipment/Supplies,500000,7/9/2012 -                    7/8/2013,No,Option 2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,The Hamilton Group
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2011-D-962-031S,Moving and Logistics Services,500000,7/10/2012 -                    7/9/2013,No,Base Year,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,"North Capitol Partners, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-924-37S,Training Services,500000,7/10/2012 -                    7/9/2013,No,Option 3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,"PRM Consulting, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-946-16S,Audit and Financial Management Services,500000,7/16/2012 -                    7/15/2013,No,Option 3,DCSS,No,Local                                     Small                                     Disadvantaged,Regis and Associates
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2010-D-962-31S,Moving and Logistic Services,500000,7/21/2012 -                    7/20/2013,No,Option 2,DCSS,No,Small                                     Resident,"Spectrum Associates, Inc."
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-99029-33S,"Security Equipment, Security Services and Emergency Preparedness",850000,7/24/2012 -                    7/23/2013,No,Option 3,DCSS,No,Local                                     Small                                     Enterprise Zone,MVS. Inc.
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-966-25S,Printing & Document Management,750000,8/12/2012 -                    8/11/2013,No,Option 3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,The Aquline Group
Office of Contracting and Procurement,DCSS-2009-D-961-51S,Marketing & Media & Public Information Services,900000,8/20/2012 -                    8/19/2013,No,3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,The Aquiline Group
Office of Contracting and Procurement,DCSS-2010-D-037-22S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",400000,8/27/2012 -                    8/26/2013,No,2,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,General Services Inc
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2000-D-037-13S,"Advertising, Novelties, Souvenirs, Promotional & Specialty Products",900000,8/28/2012 -                    8/27/2013,No,Option Year 4,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Toucan Printing & Promotional Produtd
OFFICE OF CONTRACTING AND PROCUREMENT,DCSS-2009-D-485-21S,Industrial Supplies & Apparel,900000,9/12/2012 -                    9/29/2013,No,Option Year 3,DCSS,No,Local                                     Small,Premier Office Medical Suppliers Inc
Office of Contracting and Procurement,CW22467,Temporary Support Services,900000,10/28/2012 -                    10/27/2013,No,Option Year 3,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Walton & Green Consultants LLC
Office of Contracting and Procurement,CW22147,IT Equipment and Software,9500000,4/1/2013 -                    3/31/2014,No,Base Year,DCSS,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,ABC Technical Solutions
Office of Contracting and Procurement,DCSS-2011-D-918-149s,MOBIS,950000,4/12/2013 -                    4/11/2014,No,Option Year 3,DCSS,No,Local                                     Small                                     Enterprise Zone,Motir Services Incorporated
